DetectionID,Timestamp,Zone,DwellTime_s,EngagementScore,AI_Confidence
ANON-65f8f9,2026-02-24 15:26:57,High-Conv,427.91,80.97,0.86
ANON-0df74c,2026-02-24 15:27:01,Checkout,134.98,60.18,0.99
ANON-502287,2026-02-24 15:28:45,High-Conv,43.65,47.11,0.97
ANON-3304ae,2026-02-24 15:29:14,Checkout,170.2,67.68,0.99
ANON-5f123e,2026-02-24 15:30:32,High-Conv,304.71,83.05,0.93
ANON-b0d19c,2026-02-24 15:32:41,Entrance,42.35,51.12,0.88
ANON-ce8215,2026-02-24 15:34:07,High-Conv,268.4,84.43,0.86
ANON-1a038a,2026-02-24 15:36:04,High-Conv,408.41,92.06,0.94
ANON-4dc8de,2026-02-24 15:36:21,Checkout,188.32,74.56,0.87
ANON-6c822d,2026-02-24 15:36:41,Checkout,5853.92,37.315554857361995,0.97
ANON-d1d56b,2026-02-24 15:36:58,Checkout,149.93,62.42,0.87
ANON-8fde49,2026-02-24 15:41:00,Checkout,118.11,51.15,0.88
ANON-4f188f,2026-02-24 15:43:47,Checkout,112.24,60.12,0.88
ANON-cce9a9,2026-02-24 15:44:03,High-Conv,320.28,80.61,0.9
ANON-61d5b1,2026-02-24 15:46:07,High-Conv,468.83,97.3,0.97
ANON-90512c,2026-02-24 15:48:32,Checkout,99.17,62.1,0.88
ANON-90aaa4,2026-02-24 15:48:53,High-Conv,492.88,100.0,0.98
ANON-d0a697,2026-02-24 15:48:58,High-Conv,421.33,94.29,0.92
ANON-e31097,2026-02-24 15:50:03,Checkout,100.93,56.12,0.99
ANON-f5523d,2026-02-24 15:52:55,High-Conv,388.63,97.11,0.99
ANON-412364,2026-02-24 15:55:57,Entrance,39.02,37.59,0.68
ANON-a01427,2026-02-24 16:00:11,Checkout,124.73,64.98,0.99
ANON-47f74c,2026-02-24 16:01:21,Checkout,188.95,65.69,0.87
ANON-3ec20a,2026-02-24 16:02:19,Checkout,62.34,54.07,0.97
ANON-38eed9,2026-02-24 16:04:53,Checkout,125.21,69.18,0.89
ANON-c59c15,2026-02-24 16:09:39,Checkout,123.7,65.07,0.99
ANON-23227c,2026-02-24 16:10:16,Checkout,114.64,66.25,0.91
ANON-bbcd89,2026-02-24 16:10:16,Entrance,28.4,39.18,0.78
ANON-6cc57f,2026-02-24 16:12:24,High-Conv,101.3,65.63,0.86
ANON-1f2068,2026-02-24 16:13:17,Checkout,137.42,65.07,0.86
ANON-21406f,2026-02-24 16:14:15,Checkout,120.92,49.5,0.97
ANON-323558,2026-02-24 16:15:40,Checkout,82.88,51.2,0.96
ANON-c51ae3,2026-02-24 16:16:23,High-Conv,134.21,67.1,0.87
ANON-5ff219,2026-02-24 16:16:56,High-Conv,333.08,82.48,0.97
ANON-e21398,2026-02-24 16:17:14,High-Conv,244.2,78.52,0.97
ANON-58390d,2026-02-24 16:17:57,High-Conv,435.44,83.71,0.97
ANON-20dff8,2026-02-24 16:25:19,Checkout,126.56,70.12,0.95
ANON-c9cf2d,2026-02-24 16:25:43,Entrance,16.03,48.03,0.71
ANON-74d818,2026-02-24 16:26:49,Entrance,30.43,47.21,0.66
ANON-8ea7f9,2026-02-24 16:33:33,High-Conv,291.87,84.32,0.88
ANON-eb1fa3,2026-02-24 16:35:54,High-Conv,249.71,92.64,0.95
ANON-0f3fc9,2026-02-24 16:38:42,Checkout,159.91,67.64,0.89
ANON-fda2d7,2026-02-24 16:39:26,High-Conv,183.46,68.17,0.99
ANON-f27491,2026-02-24 16:41:39,High-Conv,191.68,72.18,0.87
ANON-a0d12f,2026-02-24 16:44:54,Entrance,19.28,32.94,0.71
ANON-22f69f,2026-02-24 16:47:30,Checkout,100.21,58.96,0.93
ANON-a2cde0,2026-02-24 16:52:24,Checkout,120.24,59.01,0.96
ANON-2928a7,2026-02-24 16:54:39,High-Conv,316.37,88.01,0.89
ANON-772af2,2026-02-24 16:54:46,Checkout,120.81,74.64,0.85
ANON-8ef806,2026-02-24 16:57:22,Entrance,40.32,44.6,0.7
ANON-6d6452,2026-02-24 16:58:33,Checkout,201.52,75.19,0.9
ANON-964e24,2026-02-24 16:58:47,High-Conv,474.79,94.04,0.97
ANON-b4de1d,2026-02-24 16:59:53,Checkout,119.29,69.5,0.97
ANON-71e605,2026-02-24 17:01:48,High-Conv,320.27,84.99,0.89
ANON-8dff0b,2026-02-24 17:03:17,Checkout,90.87,57.06,0.93
ANON-f37094,2026-02-24 17:05:04,Checkout,158.23,64.12,0.85
ANON-66a4e6,2026-02-24 17:05:59,Checkout,169.82,69.67,0.98
ANON-55d28d,2026-02-24 17:08:31,High-Conv,186.46,76.3,0.89
ANON-b937f1,2026-02-24 17:09:57,Checkout,170.34,65.97,0.9
ANON-6d714f,2026-02-24 17:11:16,Entrance,21.76,40.55,0.72
ANON-07db4c,2026-02-24 17:11:17,Checkout,67.07,53.61,0.87
ANON-23c098,2026-02-24 17:20:02,Entrance,27.32,40.12,0.86
ANON-a2c821,2026-02-24 17:20:36,High-Conv,258.85,85.39,0.88
ANON-e65430,2026-02-24 17:21:03,Entrance,30.88,51.5,0.84
ANON-035807,2026-02-24 17:24:05,High-Conv,153.04,71.61,0.93
ANON-804c58,2026-02-24 17:24:25,High-Conv,209.01,70.25,0.91
